Ekipman_ID,cbs_id
2039985.0,2039985.0
2039987.0,2039987.0
2052079.0,2052079.0
2054572.0,2054572.0
2056799.0,2056799.0
2081977.0,2081977.0
2082156.0,2082156.0
2085636.0,2085636.0
2088400.0,2088400.0
2088527.0,2088527.0
2089877.0,2089877.0
2090083.0,2090083.0
2092227.0,2092227.0
2092230.0,2092230.0
2094285.0,2094285.0
2094324.0,2094324.0
2095468.0,2095468.0
2103703.0,2103703.0
2105507.0,2105507.0
2105616.0,2105616.0
2108222.0,2108222.0
2109008.0,2109008.0
2109547.0,2109547.0
2110060.0,2110060.0
2111256.0,2111256.0
2111690.0,2111690.0
2111692.0,2111692.0
2111719.0,2111719.0
2125166.0,2125166.0
2126220.0,2126220.0
2126225.0,2126225.0
2126868.0,2126868.0
2331108.0,2331108.0
2351922.0,2351922.0
2351977.0,2351977.0
2351997.0,2351997.0
2352312.0,2352312.0
2352487.0,2352487.0
2352798.0,2352798.0
2353104.0,2353104.0
2353600.0,2353600.0
2353967.0,2353967.0
2354009.0,2354009.0
2354363.0,2354363.0
2355743.0,2355743.0
2359791.0,2359791.0
2365078.0,2365078.0
2367546.0,2367546.0
2368333.0,2368333.0
2372339.0,2372339.0
3222991.0,3222991.0
11884414.0,11884414.0
42036009.0,42036009.0
42594839.0,42594839.0
42596441.0,42596441.0
42600721.0,42600721.0
42605740.0,42605740.0
42611876.0,42611876.0
42611980.0,42611980.0
42616238.0,42616238.0
42616308.0,42616308.0
42620891.0,42620891.0
42621074.0,42621074.0
42621420.0,42621420.0
42628271.0,42628271.0
42628937.0,42628937.0
42632271.0,42632271.0
42632735.0,42632735.0
42632848.0,42632848.0
42632947.0,42632947.0
42633126.0,42633126.0
42642390.0,42642390.0
42642888.0,42642888.0
42645579.0,42645579.0
42648263.0,42648263.0
42648935.0,42648935.0
42655523.0,42655523.0
42655927.0,42655927.0
42660148.0,42660148.0
42660233.0,42660233.0
42669434.0,42669434.0
42669994.0,42669994.0
42679333.0,42679333.0
42684363.0,42684363.0
42691399.0,42691399.0
42698391.0,42698391.0
42713253.0,42713253.0
42714735.0,42714735.0
42725297.0,42725297.0
42725332.0,42725332.0
42731474.0,42731474.0
42734447.0,42734447.0
42734995.0,42734995.0
42736064.0,42736064.0
42742203.0,42742203.0
42742298.0,42742298.0
42742646.0,42742646.0
42749217.0,42749217.0
42749218.0,42749218.0
42757054.0,42757054.0
42763512.0,42763512.0
42763841.0,42763841.0
42763900.0,42763900.0
42763912.0,42763912.0
42764348.0,42764348.0
42764452.0,42764452.0
42769911.0,42769911.0
42770039.0,42770039.0
42770053.0,42770053.0
42770279.0,42770279.0
42774542.0,42774542.0
44531139.0,44531139.0
44538204.0,44538204.0
44688293.0,44688293.0
44925374.0,44925374.0
44932125.0,44932125.0
44944925.0,44944925.0
44952143.0,44952143.0
44960963.0,44960963.0
44984818.0,44984818.0
44986099.0,44986099.0
44998516.0,44998516.0
44998964.0,44998964.0
45016358.0,45016358.0
45016397.0,45016397.0
45085557.0,45085557.0
45110363.0,45110363.0
45110411.0,45110411.0
48482924.0,48482924.0
48482952.0,48482952.0
48928862.0,48928862.0
48929099.0,48929099.0
48929105.0,48929105.0
48929110.0,48929110.0
49187533.0,49187533.0
49218590.0,49218590.0
49221999.0,49221999.0
49247656.0,49247656.0
49250854.0,49250854.0
49253382.0,49253382.0
49255355.0,49255355.0
49259758.0,49259758.0
49260154.0,49260154.0
49260173.0,49260173.0
49263439.0,49263439.0
49308749.0,49308749.0
49315364.0,49315364.0
49315744.0,49315744.0
49316021.0,49316021.0
49316253.0,49316253.0
49329504.0,49329504.0
49329695.0,49329695.0
49329949.0,49329949.0
49341020.0,49341020.0
49355021.0,49355021.0
49364426.0,49364426.0
49364959.0,49364959.0
49373372.0,49373372.0
49380829.0,49380829.0
49380974.0,49380974.0
49381259.0,49381259.0
49381514.0,49381514.0
49381655.0,49381655.0
49381827.0,49381827.0
49413409.0,49413409.0
49413669.0,49413669.0
49414251.0,49414251.0
49414309.0,49414309.0
49415404.0,49415404.0
49415584.0,49415584.0
49416341.0,49416341.0
49416374.0,49416374.0
49416530.0,49416530.0
49463515.0,49463515.0
50088637.0,50088637.0
50165559.0,50165559.0
50193680.0,50193680.0
50241139.0,50241139.0
53026459.0,53026459.0
53132784.0,53132784.0
53132785.0,53132785.0
53132884.0,53132884.0
53132885.0,53132885.0
53132890.0,53132890.0
53132964.0,53132964.0
53132965.0,53132965.0
53132967.0,53132967.0
53133054.0,53133054.0
53134690.0,53134690.0
53134692.0,53134692.0
53134697.0,53134697.0
53134698.0,53134698.0
53134699.0,53134699.0
53134700.0,53134700.0
53134853.0,53134853.0
53134855.0,53134855.0
53134856.0,53134856.0
53134870.0,53134870.0
53134885.0,53134885.0
53134898.0,53134898.0
53134939.0,53134939.0
53134966.0,53134966.0
53134967.0,53134967.0
53134968.0,53134968.0
