Ekipman_ID,Ekipman_Yaşı_Yıl,Summer_Peak_Flag_sum,Time_To_Repair_Hours_mean,Time_To_Repair_Hours_max,Urban_Customer_Ratio_mean,Rural_Customer_Ratio_mean,MV_Customer_Ratio_mean,urban_mv_Avg,urban_lv_Avg,suburban_lv_Avg,rural_mv_Avg,rural_lv_Avg,total_customer_count_Avg,component_voltage,Arıza_Nedeni_Çeşitlilik,Arıza_Nedeni_Tutarlılık,MTBF_Gün,MTBF_Lifetime_Gün,MTBF_Degradation_Ratio,Son_Arıza_Gun_Sayisi,Tekrarlayan_Arıza_90gün_Flag,EDBS_freq_pct,voltage_level,Beklenen_Ömür_Yıl,Yas_Beklenen_Omur_Orani,MTBF_InterFault_Trend,MTBF_InterFault_StdDev,AgeRatio_Recurrence_Interaction,Overdue_Factor,Kentsel_Müşteri_Oranı,OG_Müşteri_Oranı,Ekipman_Yoğunluk_Skoru,Neden_Değişim_Flag,Equipment_Class_Primary,Ekipman_Sınıfı,İlçe,Mahalle,Voltage_Class,Bölge_Tipi
2039985.0,6.863791923340178,0,3.663611111111111,3.663611111111111,0.0,0.992,0.0,,,,0.0,124.0,124.0,34500.0,1.0,1.0,,2507.0,,396.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0,0.0025188916876574,0,Ayırıcı,Ayırıcı,Gördes,Dalkara,OG,Kırsal
2039987.0,6.507871321013004,0,2.000277777777778,2.000277777777778,0.0,0.9642857142857144,0.0,,,,0.0,27.0,27.0,34500.0,1.0,1.0,,2377.0,,194.0,0,,34500.0,25,0.2603148528405202,,,0.0,,0.0,0.0,0.0051282051282051,0,Ayırıcı,Ayırıcı,Salihli,Kizilhavlu,OG,Kentsel
2052079.0,6.863791923340178,0,0.6705555555555556,0.6705555555555556,0.0,0.9848484848484848,0.0,,,,0.0,65.0,65.0,34500.0,1.0,1.0,,2507.0,,455.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0,0.0021929824561403,0,Ayırıcı,Ayırıcı,Alaşehir,,OG,Kentsel
2054572.0,6.507871321013004,1,1.3094444444444444,1.3094444444444444,0.0,0.8888888888888888,0.0,,,,0.0,8.0,8.0,34500.0,1.0,1.0,,2377.0,,336.0,0,,34500.0,25,0.2603148528405202,,,0.0,,0.0,0.0,0.0029673590504451,0,Ayırıcı,Ayırıcı,Salihli,Suleymaniye,OG,Kentsel
2056799.0,6.863791923340178,0,0.9122222222222224,0.9122222222222224,0.0,0.9928571428571428,0.0619047619047619,,,,26.0,391.0,419.0,34500.0,1.0,1.0,,2507.0,,256.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0619047619047619,0.0038910505836575,0,Ayırıcı,Ayırıcı,Alaşehir,,OG,Kentsel
2081977.0,6.863791923340178,0,1.2894444444444444,1.2894444444444444,0.9991007194244604,0.0,0.0107913669064748,12.0,1099.0,0.0,0.0,0.0,1111.0,34500.0,1.0,1.0,,2507.0,,128.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.9991007194244604,0.0107913669064748,0.0077519379844961,0,Ayırıcı,Ayırıcı,Alaşehir,Belenyaka,OG,Kentsel
2082156.0,6.863791923340178,1,2.1758333333333333,2.1758333333333333,0.0,0.96875,0.0,,,,0.0,31.0,31.0,34500.0,1.0,1.0,,2507.0,,312.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0,0.0031948881789137,0,Ayırıcı,Ayırıcı,Alaşehir,Serinkoy,OG,Kentsel
2085636.0,6.863791923340178,0,1.665277777777778,1.665277777777778,0.0,0.9,0.0,,,,0.0,9.0,9.0,34500.0,1.0,1.0,,2507.0,,476.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0,0.0020964360587002,0,Ayırıcı,Ayırıcı,Alaşehir,,OG,Kentsel
2088400.0,6.863791923340178,1,1.9366666666666668,1.9366666666666668,0.0,0.9927007299270072,0.0072992700729927,,,,1.0,135.0,136.0,34500.0,1.0,1.0,,2507.0,,645.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.0,0.0072992700729927,0.001547987616099,0,Ayırıcı,Ayırıcı,Gördes,Yakakoy,OG,Kırsal
2088527.0,4.747433264887063,0,7.436388888888889,7.436388888888889,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,8.0,0.0,8.0,34500.0,1.0,1.0,,1734.0,,34.0,0,,34500.0,25,0.1898973305954825,,,0.0,,0.0,0.8888888888888888,0.0285714285714285,0,Ayırıcı,Ayırıcı,Alaşehir,Kemaliye,OG,Kentsel
2089877.0,6.863791923340178,0,0.9863888888888888,0.9863888888888888,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,34500.0,1.0,1.0,,2507.0,,67.0,0,,34500.0,25,0.2745516769336071,,,0.0,,0.5,0.5,0.0147058823529411,0,Ayırıcı,Ayırıcı,Alaşehir,Azitepe,OG,Kentsel
2090083.0,5.114305270362765,0,0.6108333333333333,0.6108333333333333,0.0,0.0,0.0,,,,0.0,0.0,108.0,34500.0,1.0,1.0,,1868.0,,195.0,0,,34500.0,25,0.2045722108145106,,,0.0,,0.0,0.0,0.0051020408163265,0,Ayırıcı,Ayırıcı,Alaşehir,Yeni,OG,Kentsel
